Species,Project,Run,Recovery Site,CU Index (Recovery Site),CU Name (Recovery Site),Waterbody ID (Recovery Site),Latitude (Recovery Site),Longitude (Recovery Site),Recovery Year,Sex/Maturity,01Used For Broodstock,02Loaded Into Spawning Channel,03Given To First Nations (FSC),04Excess To Spawning Req (ESSR),05Sold,06Holding Mortalities,07Used For Other Purposes/Other Mortalities,08Est Of First Nations Fishery (FSC),09Est Of Sport Fishery,10Captive Used For Broodstock,21Sampled For Marks And Released Above Fence,21Sampled For Marks And Released Below Fence,21Sampled For Marks And Released Total River,22Counted But Not Sampled Above Fence,22Counted But Not Sampled Below Fence,22Counted But Not Sampled Total River,23Additional Hatchery Estimate Above Fence,23Additional Hatchery Estimate Below Fence,23Additional Hatchery Estimate Total River,24Dead Pitch - Usable Count Above Fence,24Dead Pitch - Usable Count Below Fence,24Dead Pitch - Usable Count Total River,29StAD Estimate Above Fence,29StAD Estimate Below Fence,29StAD Estimate Total River
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2008,Male,85,,,,,,22,,,,,,,,,23,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2008,Female,126,,,,,,47,,,,,,,,,72,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2008,Jack,4,,,,,,,,,,,,,,,,,,,,,,,,51
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2009,Unsexed Adult,,,,,,,,,,,,,,,,,,,,,,,,,600
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2009,Male,95,,,,,,20,,,,,,20,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2009,Female,190,,,,,,7,,,,,,,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2009,Jack,12,,,,,,4,,,,,,,,,,,,,,,,,,95
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2010,Unsexed Adult,,,,,,,,,,,,,,,,188,,,,,,,,,725
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2010,Male,80,,,,,,17,,,,,,,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2010,Female,73,,,,,,2,,,,,,,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2010,Jack,,,,,,,2,,,,,,,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2011,Unsexed Adult,,,,,,,,,,,,,,,,,,,,,,,,,1300
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2011,Male,58,,,,,28,,,,,,,,,,2,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2011,Female,113,,,,,3,,,,,,,,,,2,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2011,Jack,3,,,,,5,,,,,,,,,,,,,,,,,,,35
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2012,Unsexed Adult,,,,,,,,,,,,,,,,,,,,,,,,,1484
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2012,Male,142,,,,,1,,,,,,,,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2012,Female,137,,,,,11,,,,,,,,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2012,Jack,3,,,,,,,,,,,,,,,,,,,,,,,,52
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2013,Unsexed Adult,,,,,,,,,,,,,,,,,,,800,,,,,,1171
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2013,Male,92,,,,,57,3,,,,,,148,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2013,Female,83,,,,,23,4,,,,,,29,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2013,Jack,,,,,,2,,,,,,,,,,,,,,,,,,,39
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2014,Unsexed Adult,,,,,,,,,,,,,,,,,,,,,,,,,384
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2014,Male,42,,,,,11,13,,,,,,7,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2014,Female,41,,,,,3,,,,,,,,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2014,Jack,,,,,,14,7,,,,,,,,,,,,,,,,,,124
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2015,Unsexed Adult,,,,,,,,,,,,,302,,,,,,,,,,,,2517
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2015,Male,103,,,,,24,7,,,,,,,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2015,Female,103,,,,,18,5,,,,,,,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2015,Jack,,,,,,,25,,,,,,,,,,,,,,,,,,55
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2016,Unsexed Adult,,,,,,,,,,,,,,,,,,,,,,,,,2968
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2016,Male,106,,,,,24,21,,,,,,215,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2016,Female,102,,,,,26,23,,,,,,17,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2016,Jack,,,,,,,,,,,,,,,,,,,,,,,,,609
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2016,Jimmy,,,,,,,237,,,,,,,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2017,Unsexed Adult,,,,,,,,,,,,,,,,,,,,,,,,,2569
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2017,Male,149,,,,,6,,,,,,,123,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2017,Female,155,,,,,7,,,,,,,39,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2017,Jack,1,,,,,1,,,,,,,40,,,,,,,,,,,,506
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2017,Jimmy,,,,,,,,,,,,,3,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2018,Unsexed Adult,,,,,,,,,,,,,,,,,,,,,,,,,1615
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2018,Male,106,,,,,22,4,,,,,,,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2018,Female,112,,,,,12,1,,,,,,,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2018,Jack,6,,,,,3,2,,,,,,,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2018,Jimmy,,,,,,4,13,,,,,,,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2019,Unsexed Adult,,,,,,,,,,,,,,,,,,,,,,,,,1470
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2019,Male,140,,,,,13,25,,,,,,196,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2019,Female,147,,,,,18,20,,,,,,43,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2019,Jack,9,,,,,12,13,,,,,,5,,,,,,,,,,,,141
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2019,Jimmy,,,,,,1,,,,,,,,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2020,Unsexed Adult,,,,,,,,,,,,,,,,,,,579,,,,,,1505
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2020,Male,122,,90,,,28,30,,,,,,339,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2020,Female,119,,10,,,50,6,,,,,,48,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2020,Jack,,,,,,3,19,,,,,,,,,,,,141,,,,,,115
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2020,Jimmy,,,,,,,100,,,,,,,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2021,Unsexed Adult,,,,,,,,,,,,,,,,,,,,,,,,,3085
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2021,Male,149,,225,,,4,5,,,,,,97,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2021,Female,149,,14,,,20,5,,,,,,85,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2021,Jack,,,29,,,,,,,,,,,,,49,,,,,,,,,143
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2021,Jimmy,,,,,,,,,,,,,4,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2022,Unsexed Adult,,,,58,,,,,,,,,,,,,,,1685,,,,,,3217
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2022,Male,170,,,643,,7,36,,,,,,972,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2022,Female,166,,,62,,21,5,,,,,,197,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2022,Jack,3,,,22,,2,2,,,,,,16,,,,,,117,,,,,,136
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2023,Unsexed Adult,,,,,,,,,,,,,35,,,,,,,,,,,,3082
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2023,Male,192,,,434,,3,49,,,,,,489,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2023,Female,191,,,109,,8,5,,,,,,432,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2023,Jack,1,,,52,,,1,,,,,,23,,,,,,,,,,,,74
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2024,Male,130,,,593,,9,10,,,,,,123,,,147,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2024,Female,155,,,,,44,5,,,,,,45,,,146,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2024,Jack,3,,,18,,,,,,,,,5,,,15,,,,,,,,,
